"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Malaye D.; Dange K.; Barhate T.; Narwade S.; Kulkarni R.D.; Vadirajacharya K.; Thorat S.","Malaye, Dipti (57194777442); Dange, Kalpesh (57194768166); Barhate, Tejas (57190339265); Narwade, Sanket (57194780539); Kulkarni, R.D. (7201509749); Vadirajacharya, K. (18134818700); Thorat, Swapnil (58364379200)","57194777442; 57194768166; 57190339265; 57194780539; 7201509749; 18134818700; 58364379200","Current trends of implementing smart grid for enhancing the reliability of power utility network","2017","2017 2nd International Conference on Communication Systems, Computing and IT Applications, CSCITA 2017 - Proceedings","","","8066569","281","285","4","3","10.1109/CSCITA.2017.8066569","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034029763&doi=10.1109%2fCSCITA.2017.8066569&partnerID=40&md5=de5316d464297fec606e2ce6ada8544b","Department of Electrical Engineering, Dr. Babasaheb Ambedkar Technological University, Lonere, Dist. Raigad, India; Reactor Engineering Division, Bhabha Atomic Research Centre, Mumbai, India","Malaye D., Department of Electrical Engineering, Dr. Babasaheb Ambedkar Technological University, Lonere, Dist. Raigad, India; Dange K., Department of Electrical Engineering, Dr. Babasaheb Ambedkar Technological University, Lonere, Dist. Raigad, India; Barhate T., Department of Electrical Engineering, Dr. Babasaheb Ambedkar Technological University, Lonere, Dist. Raigad, India; Narwade S., Department of Electrical Engineering, Dr. Babasaheb Ambedkar Technological University, Lonere, Dist. Raigad, India; Kulkarni R.D., Reactor Engineering Division, Bhabha Atomic Research Centre, Mumbai, India; Vadirajacharya K., Department of Electrical Engineering, Dr. Babasaheb Ambedkar Technological University, Lonere, Dist. Raigad, India; Thorat S., Department of Electrical Engineering, Dr. Babasaheb Ambedkar Technological University, Lonere, Dist. Raigad, India","Electrical energy is now the biggest driving force on earth. The dependence and widespread use of electricity has its equivalent pros and cons. Thus modernization of the traditional grid system in order to overcome the major setbacks is the need of hour. Making use of advanced tools and development of various applications for evolution of conventional system is the major lead for smart grid. Demand responses, optimization of grid usage, reduction of affected users in case of a fault are some of the major contributors in the implementation of smart grid. The several features of smart grid include induction of the renewable energy, best utilization of system resources reducing costs, effective generation and demand balance, highest system reliability, consumer participation in energy management, onsite generation, use of electric vehicle reducing the harmful pollution, minimum down time, boost in energy security and quality power to users. It provides high quality and reliable energy supply to critical loads and provides easy integration with existing grid system. It provides support to the main grid in the form of export of real power and reactive power. Besides, the consumer supplier two-way communication, data transport and utilization of networking techniques like Field Area Networking helps in maintaining transparency and improving reliability and availability of the power system. The smart metering using Advanced Metering Infrastructure sustains the bidirectional data transfer and also reduction in the environmental effects. With this resilience and reliability of power utility network can be enhanced effectively. This paper describes the current development and technology advancement in smart grid infrastructure. The present issues and concerns related to smart grid need to be taken into account to help improvise the system efficiency. Case studies are involved to understand the real time analysis to address few concerns in smart grid implementation. © 2017 IEEE.","Advanced Metering Infrastructure; Distributed Generation; Field Area Networking; Micro Grid; Power Utility Network; Smart Grid; Standalone Operation","Advanced metering infrastructures; Data transfer; Distributed power generation; Electric power transmission networks; Energy management; Energy policy; Energy security; Reliability; Smart power grids; Field Area Networking; Micro grid; Power utility; Smart grid; Stand-alone operation; Electric power system security","","","","","Institute of Electrical and Electronics Engineers Inc.","","978-150904381-1","","","English","Int. Conf. Commun. Syst., Comput. IT Appl., CSCITA - Proc.","Conference paper","Final","","Scopus","2-s2.0-85034029763"
"Zhou Y.; Li J.; Wang G.; Chen S.; Xing W.; Li T.","Zhou, Yanjing (57213435020); Li, Jianwu (55670249600); Wang, Gaoshang (55817827400); Chen, Shouyu (36617004400); Xing, Wanli (56070809200); Li, Tianjiao (57205513766)","57213435020; 55670249600; 55817827400; 36617004400; 56070809200; 57205513766","Assessing the short-to medium-term supply risks of clean energy minerals for China","2019","Journal of Cleaner Production","215","","","217","225","8","24","10.1016/j.jclepro.2019.01.064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060342434&doi=10.1016%2fj.jclepro.2019.01.064&partnerID=40&md5=daa662ae1a318368afef89695929fd9d","Faculty of Earth Resources, China University of Geosciences, Wuhan, 430074, China; Research Center for Strategy of Global Mineral Resources, Chinese Academy of Geological Sciences, Beijing, 100037, China; China University of Geosciences(Beijing), Beijing, 100083, China","Zhou Y., Faculty of Earth Resources, China University of Geosciences, Wuhan, 430074, China, Research Center for Strategy of Global Mineral Resources, Chinese Academy of Geological Sciences, Beijing, 100037, China; Li J., Research Center for Strategy of Global Mineral Resources, Chinese Academy of Geological Sciences, Beijing, 100037, China; Wang G., Research Center for Strategy of Global Mineral Resources, Chinese Academy of Geological Sciences, Beijing, 100037, China; Chen S., Faculty of Earth Resources, China University of Geosciences, Wuhan, 430074, China; Xing W., Research Center for Strategy of Global Mineral Resources, Chinese Academy of Geological Sciences, Beijing, 100037, China; Li T., China University of Geosciences(Beijing), Beijing, 100083, China","Concerns about both climate change and energy security stress the importance of clean energy technologies. This paper examines the minerals used in clean energy technologies (mainly solar energy, wind energy and electric vehicles), of which 12 elements are identified to be dependent on resources outside China. Therefore, a quantitative, relative assessment of short-to medium-term supply risks is measured for 12 elements by analyzing the following factors: country concentration, import reliance, import concentration, country risk, depletion time, companion metal fraction, recycling potential and substitutability. The results highlight four elements to present a high risk, namely: tin, cobalt, chromium and nickel; while lithium, copper and titanium are the most impossible to encounter a supply disruption; the remaining five elements (silver, cadmium, zirconium, manganese and selenium) appear a moderate risk. An uncertainty analysis using Monte Carlo simulation shows a robust reliability on most of the 12 elements except for cobalt and tin. Mitigation strategies to alleviate the potential supply disruption are also discussed, such as broadening import sources; investing domestic and global mining; recycling and substitution; stockpiling. © 2019 Elsevier Ltd","Clean energy minerals; Energy security; Monte Carlo simulation; Supply risk","Climate change; Cobalt; Energy security; Fossil fuels; Intelligent systems; Minerals; Monte Carlo methods; Recycling; Reliability analysis; Solar energy; Tin; Uncertainty analysis; Wind power; Clean energy; Clean energy technology; Metal fractions; Mitigation strategy; Recycling potential; Robust reliability; Supply disruption; Supply risk; Risk assessment","China Geological Survey, CGS, (12120115056901)","This study was financially supported by the geological surveying projects of China Geological Survey (Grant No. 12120115056901 ). We would like to express our gratitude to Qiangfeng Li, Zhe MA and Ying Li for their help with this research. We also appreciate Hongcai Fei for her assistance in the language expression.","J. Li; Institute of Mineral Resources, Chinese Academy of Geological Sciences, Beijing, No. 26 Baiwanzhuang Street, 100037, China; email: jwli67@126.com","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-85060342434"
"Latifi M.; Sabzehgar R.; Rasouli M.","Latifi, Mohammadshayan (57205881561); Sabzehgar, Reza (35932939800); Rasouli, Mohammad (23052465900)","57205881561; 35932939800; 23052465900","Reactive power compensation using plugged-in electric vehicles for an AC power grid","2018","Proceedings: IECON 2018 - 44th Annual Conference of the IEEE Industrial Electronics Society","","","8591249","4986","4991","5","11","10.1109/IECON.2018.8591249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061548757&doi=10.1109%2fIECON.2018.8591249&partnerID=40&md5=4bc095f132ae394bb8254a6c66242ac2","Department of Electrical and Computer Engineering, San Diego State University, San Diego, 92182-1309, CA, United States","Latifi M., Department of Electrical and Computer Engineering, San Diego State University, San Diego, 92182-1309, CA, United States; Sabzehgar R., Department of Electrical and Computer Engineering, San Diego State University, San Diego, 92182-1309, CA, United States; Rasouli M., Department of Electrical and Computer Engineering, San Diego State University, San Diego, 92182-1309, CA, United States","In recent years, Plugged-in Electric Vehicles (PEVs) have become more popular due to the growing interest in energy security and emission reduction. In addition to fulfilling these objectives, PEVs can play a crucial role in balancing the active power as well as compensating the reactive power of the smart power grid. These ancillary services provided by PEVs, not only help in improving the reliability and quality of the power, but also benefit the grid operators and PEV owners financially. In this paper, a PEV-based reactive power compensation and a novel phase-detector-based feedback control system is proposed. The effects of reactive power compensation on the battery's State-Of-Charge (SOC) are investigated. Also, detailed analyses are carried out to assess the impacts of various components of a reactive power compensation circuit. Simulation results are provided to support the analysis and demonstrate the effectiveness of the proposed approach. © 2018 IEEE.","Battery storage; Grid-to-Vehicle (G2V); Multilevel inverter; Plugged-in Electric Vehicle (PEV); Power management; Reactive power compensation; Smart grid; Vehicle-to-Grid (V2G)","Adaptive control systems; Battery management systems; Battery storage; Charging (batteries); Electric automobiles; Electric power utilization; Emission control; Energy security; Feedback control; Industrial electronics; Phase comparators; Power management; Reactive power; Vehicle-to-grid; Grid to vehicle (G2V); Multilevel inverter; Plugged-in Electric Vehicle (PEV); Reactive power compensation; Smart grid; Vehicle to Grid (V2G); Electric power transmission networks","","","","","Institute of Electrical and Electronics Engineers Inc.","","978-150906684-1","","","English","Proceedings: IECON - Annu. Conf. IEEE Ind. Electron. Soc.","Conference paper","Final","","Scopus","2-s2.0-85061548757"
"","","","International Conference on Technologies for Smart City Energy Security and Power: Smart Solutions for Smart Cities, ICSESP 2018 - Proceedings","2018","International Conference on Technologies for Smart City Energy Security and Power: Smart Solutions for Smart Cities, ICSESP 2018 - Proceedings","2018-January","","","","","533","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050241591&partnerID=40&md5=64dca2f5c207b27642971f3474b3bc88","","","The proceedings contain 87 papers. The topics discussed include: power factor correction using boost converter operating in CCM for front-end AC to DC conversion; control of voltage & frequency of a hybrid microgrid using a FLC based bidirectional converter equipped with Bess; real time protection technique for DC microgrid using local measurements; a modified GWO technique based fractional order PID controller with derivative filter coefficient for AGC of power systems with plug in electric vehicles; smart cities in India: features, policies, current status, and challenges; optimal power flow for IEEE 30 and 118-bus systems using monarch butterfly optimization; cycle-charging dispatch strategy based performance analysis for standalone PV system with DG & Bess; influence of parametric variation in extraction of MPP from solar PV modules; a review of recent control strategies for wind farm based HVDC systems; a comparative study of different controllers in a deregulated MAMM system; smart homes: architectural and engineering design imperatives for smart city building codes; management of time-flexible demand to provide power system frequency response; a robust control approach based on seeker optimization for power quality enhancement in a grid connected diesel generator; and design of FPI controller for load frequency control of a nonlinear power system.","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","978-153864581-9","","","English","Int. Conf. Technol. Smart City Energy Secur. Power: Smart Solut. Smart Cities, ICSESP - Proc.","Conference review","Final","","Scopus","2-s2.0-85050241591"
"Bhutto D.K.; Ali Shah M.; Chachar F.A.","Bhutto, Darya Khan (57208209850); Ali Shah, Madad (36094881000); Chachar, Faheem Akhtar (57200144754)","57208209850; 36094881000; 57200144754","Electric Mobility and Energy Security in Pakistan: A Review","2020","2020 3rd International Conference on Computing, Mathematics and Engineering Technologies: Idea to Innovation for Building the Knowledge Economy, iCoMET 2020","","","9073852","","","","2","10.1109/iCoMET48670.2020.9073852","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084653315&doi=10.1109%2fiCoMET48670.2020.9073852&partnerID=40&md5=6538e50fbadb2e0859485a65cabfd308","Sukkur IBA University, Department of Electrical Engineering, Pakistan","Bhutto D.K., Sukkur IBA University, Department of Electrical Engineering, Pakistan; Ali Shah M., Sukkur IBA University, Department of Electrical Engineering, Pakistan; Chachar F.A., Sukkur IBA University, Department of Electrical Engineering, Pakistan","the amount of available energy resources is very limited. Besides, the rapid consumption of fossil fuels in transportation causes a rapid rise in air pollution surface temperature. Conventional fuel based combustion engines contain mechanical parts that make noise and require frequent maintenance. Pakistan imports a significant amount of hydrocarbons from neighboring countries. The import comes with huge costs and efforts, and therefore, relying on a fuel-based transportation system is one of the alarming situations. To address similar issues, many developed countries make plans and pass regulations to ban fuel-based vehicles, carried out research to reduce fuel consumption and noise, facilitate investors to promote the sale of eco-friendly vehicles. In this regard article briefly discusses the technical aspects of Electric mobility and associated energy security of Pakistan. Based on comparison various aspects of electric vehicles with conventional combustion engines, Fuel based vehicles are considered as promising technology for upcoming transport applications. © 2020 IEEE.","Electric mobility; Energy Density; Energy security; Power Density","Combustion; Economics; Energy security; Engines; Vehicles; Combustion engines; Conventional combustions; Conventional fuel; Developed countries; Surface temperatures; Technical aspects; Transport applications; Transportation system; Fossil fuels","Centre for Research in Energy","This study is supported by Centre for Research in Energy and Smart Grids (CRESG) at Sukkur IBA University, special thanks to Ali Zain, Dr. Faheem Akhtern & all colleagues, and foundation members of Centre.","","","Institute of Electrical and Electronics Engineers Inc.","","978-172814970-7","","","English","Int. Conf. Comput., Math. Eng. Technol.: Idea Innov. Build. Knowl. Econ., iCoMET","Conference paper","Final","","Scopus","2-s2.0-85084653315"
"Liu W.; Chau K.; Lee C.; Jiang C.; Han W.","Liu, W. (57202057683); Chau, K. (7202674641); Lee, C. (57299235100); Jiang, C. (57192937651); Han, W. (57192943786)","57202057683; 7202674641; 57299235100; 57192937651; 57192943786","A switched-capacitorless energy-encrypted transmitter for roadway-charging electric vehicles","2018","2018 IEEE International Magnetic Conference, INTERMAG 2018","","","8508061","","","","0","10.1109/INTMAG.2018.8508061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066797329&doi=10.1109%2fINTMAG.2018.8508061&partnerID=40&md5=c822800ff5ee7ac7fdf0049771fe452c","University of Hong Kong, Hong Kong, Hong Kong; Massachusetts Institute of Technology, Boston, MA, United States","Liu W., University of Hong Kong, Hong Kong, Hong Kong; Chau K., University of Hong Kong, Hong Kong, Hong Kong; Lee C., Massachusetts Institute of Technology, Boston, MA, United States; Jiang C., University of Hong Kong, Hong Kong, Hong Kong; Han W., University of Hong Kong, Hong Kong, Hong Kong","Due to cleanliness, convenience and high efficiency, wireless power transfer (WPT) technology has been extensively and deeply investigated. In recent years, energy encryption has drawn researchers' attention to satisfy practical requirements of security and reliability in the theme of intelligent transportation and smart city. Especially for roadway-charging electric vehicles (EVs), the use of energy encryption can guarantee the transmitted energy being effectively harvested by the authorized receptors instead of being secretly stolen by the unauthorized ones. Recently, a chaotic encryption strategy based on switched capacitor arrays has been proposed to realize energy security in WPT systems [1, 2]. However, because of the need of discretely adjusting the resonant capacitance and hence the operating frequency, this encryption scheme suffers from the drawbacks of limited energy-transferred channels, high voltage stress across switches and relatively low flexibility. In addition, a generic encryption model based on certificate-less cryptography has been developed to improve the energy security performance for WPT systems [3], but its computational complexity and time involved seriously restrain from dynamically encrypting the operating frequency. Meanwhile, a traditional series-to-series (SS) topology with fixed values ofresonant inductance and capacitance has been identified to exhibit a selective characteristic for multiple loads when operating at the selected receptor's resonant frequency [4]. This mechanism can be newly extended to derive an energy-encrypted transmitter without using a switched-capacitor array for multiple energy receptors such as roadway-charging EVs. Consequently, in this paper, a switched-capacitorless energy-encrypted transmitter is proposed for roadway-charging EVs. Moreover, a two-dimension chaotic frequency-and-duration encryption (FDE) algorithm is proposed to improve the security performance while maintaining relatively high efficiency. © 2018 IEEE.","","Capacitance; Charging (batteries); Electric vehicles; Energy security; Energy transfer; Inductive power transmission; Natural frequencies; Transmitters; Electric Vehicles (EVs); High-voltage stress; Intelligent transportation; Practical requirements; Security and reliabilities; Security performance; Switched capacitor array; Wireless power transfer (WPT); Cryptography","","","","","Institute of Electrical and Electronics Engineers Inc.","","978-153866425-4","","","English","IEEE Int. Magn. Conf., INTERMAG","Conference paper","Final","","Scopus","2-s2.0-85066797329"
"Wang G.; Xie X.; Zhang F.; Liu Y.; Zhang D.","Wang, Guang (57214494811); Xie, Xiaoyang (57205885895); Zhang, Fan (56794921400); Liu, Yunhuai (8671202200); Zhang, Desheng (54685570200)","57214494811; 57205885895; 56794921400; 8671202200; 54685570200","BCharge: Data-Driven Real-Time Charging Scheduling for Large-Scale Electric Bus Fleets","2019","Proceedings - Real-Time Systems Symposium","2018-December","","8603191","45","55","10","48","10.1109/RTSS.2018.00015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061541822&doi=10.1109%2fRTSS.2018.00015&partnerID=40&md5=084230ff2ab4da019bdeb14719357e3f","Rutgers University, United States; SIAT, Chinese Academy of Sciences, China; Peking University, China","Wang G., Rutgers University, United States; Xie X., Rutgers University, United States; Zhang F., SIAT, Chinese Academy of Sciences, China; Liu Y., Peking University, China; Zhang D., Rutgers University, United States","We are witnessing a rapid growth of electrified vehicles because of the ever-increasing concerns over urban air quality and energy security. Compared with other electric vehicles, electric buses have not yet been prevailingly adopted worldwide due to the high owning and operating costs, long charging time, and the uneven distribution of charging facilities. Moreover, the highly dynamic environment factors such as the unpredictable traffic congestions, different passenger demands, and even changing weather, can significantly affect electric bus charging efficiency and potentially hinder further development of large-scale electric bus fleets. To deal with these issues, in this paper, we first analyze a real-world dataset including massive data from 16,359 electric buses, 1,400 bus lines and 5,562 bus stops, which is obtained from the Chinese city Shenzhen, who has the first and the largest full electric bus network for public transit. Then we investigate the electric bus network to understand its operating and charging patterns, and further verify the feasibility and necessity of a real-time charging scheduling. With such understanding, we design bCharge, a real-time charging scheduling system based on Markov Decision Process to reduce the overall charging and operating costs for city-scale electric bus fleets, taking the time-variant electricity pricing into account. To show the effectiveness of bCharge, we implement it with the real-world streaming dataset from Shenzhen, which includes GPS data of the electric bus fleet, the bus lines and stops data, coupled with the 376 electric bus charging stations data. The evaluation results show that bCharge can dramatically reduce the charging cost by 23.7% and 12.8% electricity usage simultaneously. © 2018 IEEE.","charging scheduling; data-driven; Electric bus; Markov decision process","Air quality; Bus terminals; Bus transportation; Buses; Charging time; Cost reduction; Electric automobiles; Electric network parameters; Energy security; Fleet operations; Interactive computer systems; Markov processes; Operating costs; Real time systems; Scheduling; Traffic congestion; Urban growth; Charging efficiency; Charging facilities; Data driven; Dynamic environments; Electric bus; Electricity pricing; Electrified vehicles; Markov Decision Processes; Electric lines","National Key R&D Program of China, (2018YFB0803400); Rutgers Global Center; Rutgers Research Council, China 973 Program, (2015CB352400); National Natural Science Foundation of China, NSFC, (41401470, 61332018, 61772026)","This work is partially supported by Rutgers Global Center, Rutgers Research Council, China 973 Program (2015CB352400), National Natural Science Foundation of China (NSFC) 41401470, 61772026 and 61332018, and National Key R&D Program of China 2018YFB0803400.","","","Institute of Electrical and Electronics Engineers Inc.","10528725","978-153867907-4","PRSYE","","English","Proc. Real Time Syst. Symp.","Conference paper","Final","","Scopus","2-s2.0-85061541822"
"Richards M.","Richards, Matt (12645847400)","12645847400","The potential role for HTGRs to reduce CO2 emissions in the transportation sector","2019","International Conference on Nuclear Engineering, Proceedings, ICONE","2019-May","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071365062&partnerID=40&md5=ff524e15ec265bd0acf6004d2cee4b4d","Ultra Safe Nuclear Corporation, San Diego, CA, United States","Richards M., Ultra Safe Nuclear Corporation, San Diego, CA, United States","Energy consumption in the transportation sector is dominated by petroleum-based liquids. However, oil's dominance may begin to be challenged by advancing technologies. Uncertainty about the security of oil supplies, the prospect of rising oil prices, and environmental concerns about carbon and other emissions from the combustion of petroleum-based fuels pose challenges to countries that are experiencing rapid motorization and have to import large portions of their transportation fuel supplies. As a result, future trends in transportation demand may be influenced significantly by government policies directed at reducing emissions and congestion while promoting alternative fuels, new vehicle technologies, and mass transit. Market forces and government policies may drive further development of highly efficient vehicle technologies, including hybrid-electric vehicles (HEVs), plug-in hybrid electric vehicles (PHEVs), all-electric vehicles (AEVs), and fuel cell electric vehicles (FCEVs). The technologies are promising, with the potential to alter future demand for transportation fuels, reduce emissions, improve energy security, and provide significant energy savings. The market for High Temperature Gas-cooled Reactors (HTGRs) in the transportation sector is potentially very large, especially if there is significant demand and market penetration for advanced vehicles. The steam-cycle HTGR is a demonstrated technology and could be deployed in a relatively short time frame to supply electricity for AEVs. Hydrogen production using thermochemical water splitting and high temperature steam electrolysis (HTSE) are longer-term, developmental technologies that can be coupled to HTGRs to provide hydrogen for FCEVs. This paper provides specific analyses and comparisons of HTGR concepts with existing commercial nuclear and fossil-fueled plants in terms of potential CO2 reductions in the transportation sector. Copyright © 2018-2019 by JSME","Carbon Emissions; Electric Vehicle; Fuel Cell Vehicle; HTGR","Alternative fuels; Carbon dioxide; Commerce; Electric vehicles; Electrolysis; Emission control; Energy conservation; Energy security; Energy utilization; Fuel cells; Gas cooled reactors; Gasoline; High temperature gas reactors; Hydrogen production; Mass transportation; Motor transportation; Nuclear energy; Nuclear fuels; Petroleum transportation; Public policy; Steam engineering; Traffic congestion; Carbon emissions; Fuel cell electric vehicle; Fuel cell vehicles; High temperature steam electrolysis; HTGR; Hybrid electric vehicles (HEVs); Plug-in hybrid electric vehicles; Thermo-chemical water splitting; Plug-in hybrid vehicles","","","","","American Society of Mechanical Engineers (ASME)","","978-488898305-1","","","English","Int Conf Nucl Eng Proc ICONE","Conference paper","Final","","Scopus","2-s2.0-85071365062"
"Vargas J.E.V.; Seabra J.E.A.; Cavaliero C.K.N.; Walter A.C.S.; Souza S.P.; Falco D.G.","Vargas, Jorge Enrique Velandia (57219237112); Seabra, Joaquim E. A. (23390441500); Cavaliero, Carla K. N. (25947321200); Walter, Arnaldo C. S. (7102205549); Souza, Simone P. (55260008800); Falco, Daniela G. (57210993536)","57219237112; 23390441500; 25947321200; 7102205549; 55260008800; 57210993536","The new neighbor across the street: An outlook for battery electric vehicles adoption in Brazil","2020","World Electric Vehicle Journal","11","3","60","","","","9","10.3390/WEVJ11030060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091886083&doi=10.3390%2fWEVJ11030060&partnerID=40&md5=33f61f5892e0f3e88c0c62785c6b9c70","School of mechanical engineering, State University of Campinas, Campinas, São Paulo, 13083-860, Brazil","Vargas J.E.V., School of mechanical engineering, State University of Campinas, Campinas, São Paulo, 13083-860, Brazil; Seabra J.E.A., School of mechanical engineering, State University of Campinas, Campinas, São Paulo, 13083-860, Brazil; Cavaliero C.K.N., School of mechanical engineering, State University of Campinas, Campinas, São Paulo, 13083-860, Brazil; Walter A.C.S., School of mechanical engineering, State University of Campinas, Campinas, São Paulo, 13083-860, Brazil; Souza S.P., School of mechanical engineering, State University of Campinas, Campinas, São Paulo, 13083-860, Brazil; Falco D.G., School of mechanical engineering, State University of Campinas, Campinas, São Paulo, 13083-860, Brazil","As the automotive industry steers towards electromobility and electric vehicle adoption surges, Brazil and other Latin-American countries remain laggards. The Brazilian scenario exhibits unique features, such as a powerful automotive sector with large investments in internal combustion engine technology and a well-established biofuels market based on flex-fuel technology. Although energy security, urban air pollution, greenhouse gas emissions mitigation, and technological advantage have been common drivers for the adoption of electric vehicles worldwide, the Brazilian immediate motivations are dierent, and the biofuels business ecosystem is likely to transform the path for electromobility. High tag price and public charging infrastructure absence have deeply discouraged electric vehicles adoption. A lack of regulation and a national consensus about the role of electric vehicles have been notorious. In fact, only in 2018 did the electricity regulatory agency (ANEEL) issue a resolution permitting the sale of electricity for recharging. The objective of this review was to create an outlook of the Brazilian transportation landscape. We identified relevant players, public charging infrastructure initiatives, market and other barriers, and regulation actions by consulting academic literature, media sources, and reports. We do not claim to predict the evolution of electrification. Instead, we aim to consolidate the information which can be used for decision support or strategy definition among entrepreneurs or policymakers. The main findings here are the necessity of a model for electrification able to create a synergy with biofuels and the urgency of having well-defined policies on what Brazil wants from electromobility. © 2020 by the author.","Battery electric vehicles; Biofuels; Brazil; Charging infrastructure; Open standards","Automotive batteries; Biofuels; Charging (batteries); Commerce; Decision support systems; Electric utilities; Energy security; Gas emissions; Greenhouse gases; Investments; Academic literature; Automotive sector; Business ecosystem; Charging infrastructures; Decision supports; National consensus; Regulatory agencies; Urban air pollution; Battery electric vehicles","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, CAPES, (PD-00063-3043/2018); Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq","Funding text 1: Funding: The authors would like to thank Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) and Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES) for the financial support.; Funding text 2: Acknowledgments: We would like to thank CPFL Paulista for the partnership and the financial support of this project (PD-00063-3043/2018).","J.E.V. Vargas; School of mechanical engineering, State University of Campinas, Campinas, São Paulo, 13083-860, Brazil; email: jevelandiav@fem.unicamp.br","","MDPI AG","20326653","","","","English","World Electr. Veh. J.","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85091886083"
"Gong H.; Zheng M.; Jin P.; Feng D.","Gong, Huiqi (56313416400); Zheng, Minxin (22236208900); Jin, Peng (57201795758); Feng, Dong (57201799798)","56313416400; 22236208900; 57201795758; 57201799798","Optimization analysis of thermal management system for electric vehicle battery pack","2018","AIP Conference Proceedings","1955","","030042","","","","0","10.1063/1.5033641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046128911&doi=10.1063%2f1.5033641&partnerID=40&md5=1e36e94dd1c22fc7e771d40694df0826","School of Mechanical Engineering and Automation, Beihang University, Beijing, 100083, China","Gong H., School of Mechanical Engineering and Automation, Beihang University, Beijing, 100083, China; Zheng M., School of Mechanical Engineering and Automation, Beihang University, Beijing, 100083, China; Jin P., School of Mechanical Engineering and Automation, Beihang University, Beijing, 100083, China; Feng D., School of Mechanical Engineering and Automation, Beihang University, Beijing, 100083, China","Electric vehicle battery pack can increase the temperature to affect the power battery system cycle life, charge-ability, power, energy, security and reliability. The Computational Fluid Dynamics simulation and experiment of the charging and discharging process of the battery pack were carried out for the thermal management system of the battery pack under the continuous charging of the battery. The simulation result and the experimental data were used to verify the rationality of the Computational Fluid Dynamics calculation model. In view of the large temperature difference of the battery module in high temperature environment, three optimization methods of the existing thermal management system of the battery pack were put forward: adjusting the installation position of the fan, optimizing the arrangement of the battery pack and reducing the fan opening temperature threshold. The feasibility of the optimization method is proved by simulation and experiment of the thermal management system of the optimized battery pack. © 2018 Author(s).","","","","","M. Zheng; School of Mechanical Engineering and Automation, Beihang University, Beijing, 100083, China; email: zhminxin@buaa.edu.cn","Yang C.; Liu L.; Ke J.","American Institute of Physics Inc.","0094243X","978-073541654-3","","","English","AIP Conf. Proc.","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85046128911"
